8	3	0.141
9	5	0.3495
9	6	0.3415
10	0	0.245
10	2	0.1675
13	5	0.3255
13	6	0.378
13	9	0.3645
14	0	0.312
14	3	0.016
15	0	0.111
16	14	0.3125
17	1	0.3755
17	6	0.049
17	9	0.2275
17	13	0.311
18	15	0.3395
19	1	0.213
19	7	0.07
20	8	0.3915
20	16	0.2555
20	18	0.2835
21	18	0.1045
22	17	0.21
24	14	0.0245
24	15	0.244
24	18	0.3605
25	17	0.304
26	1	0.2685
26	25	0.3205
27	1	0.3945
27	7	0.1125
27	17	0.321
27	25	0.328
27	26	0.2155
28	1	0.143
28	8	0.225
28	20	0.2075
29	10	0.261
29	18	0.2
29	21	0.2885
29	24	0.2315
30	7	0.061
30	19	0.322
30	28	0.051
31	17	0.321
32	9	0.397
32	13	0.3595
33	12	0.0535
33	14	0.117
33	16	0.043
33	21	0.0455
34	14	0.325
34	33	0.0885
35	29	0.2945
36	1	0.005
36	20	0.108
36	23	0.34
37	8	0.338
37	14	0.116
37	16	0.3525
37	21	0.254
37	33	0.0195
37	34	0.2825
37	36	0.346
38	14	0.2025
38	16	0.032
38	20	0.3815
38	33	0.104
39	36	0.3485
40	0	0.0945
40	7	0.339
40	14	0.2435
40	15	0.2525
40	33	0.107
40	36	0.213
40	37	0.101
41	1	0.053
41	9	0.142
41	13	0.3685
42	0	0.359
42	2	0.3635
42	10	0.196
42	30	0.222
43	14	0.3785
43	29	0.1465
43	33	0.3575
43	37	0.2645
43	38	0.2235
44	2	0.0955
44	20	0.2045
44	34	0.3075
44	38	0.3055
45	8	0.0455
45	15	0.246
45	18	0.179
45	21	0.2885
45	23	0.006
45	24	0.243
45	29	0.049
45	37	0.209
46	43	0.001
47	0	0.2155
47	10	0.201
47	20	0.161
47	28	0.3915
47	30	0.34
47	42	0.2175
49	34	0.254
49	46	0.385
50	14	0.387
50	16	0.3615
50	20	0.263
50	33	0.057
50	42	0.126
50	45	0.3815
51	4	0.3675
51	11	0.2975
51	18	0.169
51	21	0.278
51	23	0.2995
51	24	0.2545
51	29	0.105
51	45	0.3585
51	50	0.179
52	14	0.215
52	29	0.2465
52	38	0.3855
52	40	0.276
53	43	0.334
54	1	0.2045
54	6	0.0935
54	7	0.255
54	13	0.36
54	19	0.135
54	41	0.31
55	15	0.296
55	51	0.2755
56	5	0.2565
56	6	0.2485
57	5	0.0215
57	6	0.3335
57	9	0.248
57	13	0.3665
57	17	0.3465
57	39	0.1365
57	41	0.296
57	48	0.3435
57	54	0.3765
58	38	0.374
59	3	0.1455
59	8	0.304
59	15	0.0355
59	36	0.313
59	45	0.351
60	32	0.2135
61	2	0.325
61	37	0.1225
61	53	0.385
